,acousticness,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,decade,letter_keys,modes,key_mode,scaled_speech,scaled_duration,scaled_loudness,scaled_tempo,scaled_pop,A Minor,Ab Major,Ab Minor,B Major,B Minor,Bb Major,Bb Minor,C Major,C Minor,D Major,D Minor,Db Major,Db Minor,E Major,E Minor,Eb Major,Eb Minor,F Major,F Minor,F# Major,F# Minor,G Major,G Minor,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,2020s,artist,label
30,0.7509999999999999,0.535,154709,0.213,0,3bYScnLyvNec5iMKtJgLI9,0.000124,10,0.0713,-14.265,1,Solid Sender,12,1960-01-01,0.156,185.555,0.46399999999999997,1960,1960s,Bb,Major,Bb Major,0.639357371709655,0.02771214094863804,0.7162320883251116,0.760187798812738,0.12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
31,0.774,0.42200000000000004,214000,0.0335,0,3tXhd4rrp98AeFXsChONXB,0.0009699999999999999,6,0.109,-20.124000000000002,1,Wednesday Evenin' Blues,12,1960-01-01,0.0507,172.187,0.243,1960,1960s,F#,Major,F# Major,0.20779114580563787,0.038695226282196626,0.6244773314540756,0.7054213387630024,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
32,0.655,0.7809999999999999,143817,0.414,0,4Gyo0hhhdPN4LR398eGdCx,0.0,5,0.12300000000000001,-14.01,1,Goin' To California,11,1960-01-01,0.0445,111.78,0.905,1960,1960s,F,Major,F Major,0.1823807887248695,0.025694503103887233,0.7202255109231854,0.45794396352180133,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
33,0.885,0.439,319040,0.0378,0,6N4rqRMdQCfT0lTXuFx72D,0.000225,5,0.196,-27.058000000000003,1,The Waterfront,23,1966-01-01,0.0662,146.297,0.212,1966,1960s,F,Major,F Major,0.2713170385075587,0.05815287218860728,0.5158875577480228,0.5993543391603952,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
34,0.677,0.767,184507,0.43,0,1kUbawlVQyu6oZzKRn6RYe,3.24e-05,0,0.0725,-14.948,1,Stella Mae,23,1966-01-01,0.0801,114.958,0.8740000000000001,1966,1960s,C,Major,C Major,0.32828541970476516,0.03323193276812799,0.7055359799545846,0.47096369796510323,0.23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
35,0.9009999999999999,0.5720000000000001,297827,0.21899999999999997,0,7yTpCB4c2l7ytz4APk2ZZ5,0.00742,2,0.373,-15.23,1,Drifter,29,1971-01-01,0.233,141.972,0.465,1971,1970s,D,Major,D Major,0.954937612874036,0.05422336873646819,0.7011197243755383,0.5816355375659079,0.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,John Lee Hooker,Fat Possum
36,0.561,0.7509999999999999,179667,0.653,0,5B5JM1VxUe1aZNmtt0M5Zy,0.0,5,0.348,-11.450999999999999,1,"One Bourbon, One Scotch, One Beer",31,1992-01-01,0.0559,124.469,0.8490000000000001,1992,1990s,F,Major,F Major,0.2291030581959597,0.03233536949521265,0.7603006812309138,0.5099286741420208,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,John Lee Hooker,Fat Possum
37,0.858,0.6779999999999999,189507,0.272,0,5oyKFxTeInGiLn7MVTqmMR,0.0236,4,0.109,-10.415,1,Boogie Chillen,51,2009-06-19,0.0525,149.128,0.37799999999999995,2009,2000s,E,Major,E Major,0.21516834624844158,0.03415813449634632,0.776524939315637,0.6109524726433994,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,John Lee Hooker,Fat Possum
38,0.8590000000000001,0.655,164467,0.40399999999999997,0,1YqvYMaiPXeDd0HxWq6880,0.00415,0,0.317,-13.651,0,High Priced Woman - Single Version,14,1959-01-01,0.054000000000000006,142.216,0.537,1959,1950s,C,Minor,C Minor,0.22131601328411138,0.02951971624142893,0.7258476235220422,0.5826351647541287,0.14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,John Lee Hooker,Fat Possum
39,0.924,0.639,207067,0.061,0,6IaYhUg5Vu03nPTUz4t2Fh,0.0554,6,0.122,-21.526,1,Democrat Man,13,1960-01-01,0.0902,123.667,0.33299999999999996,1960,1960s,F#,Major,F# Major,0.3696797110782749,0.03741095496584909,0.6025213374050584,0.5066430142856558,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
40,0.43799999999999994,0.611,138337,0.41200000000000003,0,6iwOhsDbWO0JrCquRZNYQ5,0.0,5,0.139,-14.927,1,Dusty Road,11,1960-01-01,0.0566,142.817,0.79,1960,1960s,F,Major,F Major,0.23197196947927226,0.024679386009759944,0.7058648500508966,0.5850973612300331,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
41,0.863,0.847,181667,0.0713,0,6mf5ildSOfQ5mPN9Ehpcel,0.0349,1,0.11199999999999999,-23.372,1,I Want To Talk About You,12,1960-01-01,0.11,92.96799999999999,0.635,1960,1960s,Db,Major,Db Major,0.4508289159491157,0.03270585018649998,0.5736120898911596,0.3808743460430741,0.12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
42,0.8540000000000001,0.43799999999999994,247627,0.0235,0,7BlPHKt3bLcXT55ZdhDlnc,0.00639,1,0.0757,-21.449,1,One Of These Days,13,1960-01-01,0.0954,205.072,0.125,1960,1960s,Db,Major,Db Major,0.3909916234685967,0.04492430338515617,0.6037271944248689,0.8401456833721851,0.13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
43,0.8140000000000001,0.573,147827,0.27,0,2kbHzR8Ac2a7sBk1uErIE5,0.000317,3,0.0965,-21.615,1,Please Don't Go,10,1961-01-01,0.0351,139.641,0.925,1961,1960s,Eb,Major,Eb Major,0.14385540863467236,0.026437316889918332,0.6011275546159268,0.5720858204522085,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
44,0.8959999999999999,0.64,217981,0.21899999999999997,0,4rcPnrMmaZ5uDZgXikfnQ2,4.84e-05,2,0.14800000000000002,-13.244000000000002,1,Five Long Years,9,1961-01-01,0.0501,99.485,0.46,1961,1960s,D,Major,D Major,0.20533207899136996,0.03943266809820406,0.7322214391981834,0.4075734050005941,0.09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
45,0.7,0.745,133619,0.511,0,0zVx5Ao0pMlrZti8WVsbOx,1.24e-05,5,0.139,-14.908,1,Dimples,31,1993-01-01,0.0528,137.214,0.8759999999999999,1993,1990s,F,Major,F Major,0.21639787965557553,0.023805422059013127,0.706162399185655,0.5621428073956025,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,John Lee Hooker,Fat Possum
46,0.973,0.542,173693,0.462,0,6h39F7MGVCSVA8xXK1YNKK,0.0016600000000000002,5,0.304,-14.145,1,Women And Money - Single Version,12,1959-01-01,0.0311,130.14700000000002,0.677,1959,1950s,F,Major,F Major,0.12746162987288634,0.03122874367033739,0.7181113460183228,0.5331904904318473,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,John Lee Hooker,Fat Possum
