,acousticness,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,decade,letter_keys,modes,key_mode,scaled_speech,scaled_duration,scaled_loudness,scaled_tempo,scaled_pop,A Major,A Minor,Ab Major,Ab Minor,B Major,B Minor,Bb Major,Bb Minor,C Major,C Minor,D Major,D Minor,Db Major,Db Minor,E Major,E Minor,Eb Major,Eb Minor,F Major,F Minor,F# Major,F# Minor,G Major,G Minor,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,2020s,artist,label
21,0.9420000000000001,0.647,82347,0.263,0,1hW1AlRMWxBoV25ZvO58DY,0.000686,3,0.10300000000000001,-12.564,1,The Gray Goose,0,1951-01-01,0.0941,147.686,0.924,1951,1950s,Eb,Major,Eb Major,0.3856636453710163,0.014307779057171099,0.7428705661263801,0.6050448398343241,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Lead Belly,Third Man
22,0.992,0.632,234083,0.598,0,5xe6kCSi7I1uZCdhan5gBc,0.0239,5,0.20600000000000002,-10.46,1,Thirty Days In The Workhouse (53-B),1,1935-01-01,0.2439949970121604,75.05199999999998,0.7709999999999999,1935,1930s,F,Major,F Major,1.0,0.04241540814375836,0.7758202176806828,0.30747549069814123,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
23,0.956,0.539,313861,0.17,0,5yNWsT9QOoHUVWCIEWasgp,3.0299999999999998e-05,11,0.161,-12.315999999999999,1,I'm All Out And Down (144-A),1,1935-01-01,0.2439949970121604,174.239,0.765,1935,1930s,B,Major,B Major,1.0,0.05719351243851873,0.7467543653590165,0.7138280395426296,0.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
24,0.98,0.5589999999999999,296281,0.51,0,61k6W7UylXyNuVJpRY0bT2,0.0447,2,0.209,-9.419,1,Ella Speed (54-A),0,1935-01-01,0.2439949970121604,179.55200000000005,0.728,1935,1930s,D,Major,D Major,1.0,0.05393698716210309,0.7921227781692899,0.7355945118828636,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
25,0.985,0.62,171807,0.29600000000000004,0,67utCfhNcW96TQlCNEo3A5,0.00175,3,0.126,-12.444,1,Kansas City Papa (Take 1),0,1935-01-01,0.0639,168.82299999999995,0.7509999999999999,1935,1930s,Eb,Major,Eb Major,0.26189061571953176,0.030879380378453437,0.7447498238195912,0.6916395934303189,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
26,0.988,0.542,306887,0.207,0,6IDWYkvL2SJCktfbQIaEgD,0.0005269999999999999,9,0.249,-12.044,1,Alabama Bound (49-B),2,1935-01-01,0.2439949970121604,86.309,0.82,1935,1930s,A,Major,A Major,1.0,0.0559016462679998,0.7510140161302953,0.3535935368366716,0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
27,0.988,0.504,180349,0.179,0,33DoEb8ZHpOj00dDc2QNdS,0.0,1,0.11599999999999999,-11.050999999999998,1,Daddy I'm Coming Back To You (Take 3),3,1940-01-01,0.0304,75.814,0.677,1940,1940s,Db,Major,Db Major,0.1245927185895738,0.03246170341094163,0.7665648735416177,0.31059727724496194,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
28,0.953,0.619,164676,0.584,0,625XzICYn2o01LiNYQqT20,0.778,3,0.249,-8.215,1,The Eagle Rocks,1,1947-01-01,0.0329,157.64600000000004,0.72,1947,1940s,Eb,Major,Eb Major,0.13483883031569005,0.029558431473668455,0.8109779970245087,0.6458492939108778,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
29,0.987,0.607,191451,0.349,0,6BtA9TGPc6Az2J2UPoPKEp,3.3600000000000004e-05,4,0.316,-7.183,1,Cow Cow Yicky Yea / Out On The Western Plains,1,1947-01-01,0.0722,96.256,0.721,1947,1940s,E,Major,E Major,0.29590770665023775,0.0345182417282776,0.8271396131861248,0.3943447320876231,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
30,0.973,0.6659999999999999,182648,0.342,0,6LjspwJQsRHuO5St98tlja,0.0384,4,0.12,-11.789000000000001,0,National Defense Blues,0,1947-01-01,0.0721,130.469,0.968,1947,1940s,E,Minor,E Minor,0.2954978621811931,0.032887570965576415,0.755007438728369,0.5345096705736795,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
31,0.995,0.612,147461,0.295,0,6XrOM2NjQoe3JXOxEq6eGV,0.00489,9,0.133,-13.743,1,Yellow Gal,0,1947-01-01,0.16,102.211,0.948,1947,1940s,A,Major,A Major,0.6557511504714411,0.02636951892341275,0.7244068592905802,0.4187413710460443,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
32,0.862,0.5529999999999999,133355,0.493,0,2EbZJhnvMWq5rt9B7B0OvV,0.0476,10,0.126,-10.445,1,Shout On (Honey I'm All Out And Down),0,1949-01-01,0.0533,71.49,0.6890000000000001,1949,1940s,Bb,Major,Bb Major,0.21844710200079878,0.0237565186077632,0.7760551248923342,0.29288257248321325,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
33,0.905,0.5870000000000001,160040,0.174,0,2RfeYP8d9Eaz8O4BeB33KI,0.000573,0,0.695,-10.9,0,Ella Louise,0,1949-01-01,0.2439949970121604,72.681,0.41100000000000003,1949,1940s,C,Minor,C Minor,1.0,0.02869965723126442,0.7689296061389085,0.2977619002748975,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
34,0.975,0.637,136124,0.428,0,6VAaA7ZwkfLM0RXgRVPGLQ,0.0087,10,0.10400000000000001,-10.335999999999999,1,Take A Whiff On Me (126-A-3),2,1935-01-01,0.0434,113.68,0.958,1935,1930s,Bb,Major,Bb Major,0.17787249956537837,0.02426944912485051,0.7777621172970011,0.46572794572515996,0.02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
35,0.991,0.45899999999999996,184581,0.21899999999999997,0,6WvOzqF5ADtl3m3nQ7azdi,0.000831,1,0.3,-20.768,0,In Dem Long Hot Summer Days (50-A),2,1935-01-01,0.2439949970121604,78.771,0.122,1935,1930s,Db,Minor,Db Minor,1.0,0.03324564055370562,0.6143919818338424,0.3227116116530311,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
36,0.99,0.49,187742,0.42,0,6bYCW4AMj65mszMyesusG5,0.364,8,0.13,-10.968,1,Po' Howard (139-B),0,1935-01-01,0.0369,112.24600000000001,0.838,1935,1930s,Ab,Major,Ab Major,0.1512326090774761,0.03383118528628525,0.7678646934460888,0.45985308757799354,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
37,0.861,0.687,297927,0.4270000000000001,0,6niG4x7KXSBUTRRdbAFKuH,0.0,6,0.358,-13.289000000000001,0,Billy In The Lowlands / Here Rattler Here (147-B),0,1935-01-01,0.2439949970121604,109.34700000000001,0.0496,1935,1930s,F#,Minor,F# Minor,1.0,0.05424189277103256,0.7315167175632292,0.4479763694687638,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
